STT,product_name,price,username,rating,comment,url
19,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Hà C.Chứng nhận đã mua hàng,5.0,"Nghe mọi người lùi size làm đi vừa zin ko vừa để đi tất, huhu, đôi này đi tất mới xinhhhGiao hàng nhanh chóng và người bán đáng tin cậy., shop gói hàng chán thiệt nhăn hết da, mất hết form, may đi lên chân vẫn xinhh ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
20,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,0***8Chứng nhận đã mua hàng,5.0,"Giao hàng nhanh lâu, đóng gói sơ sài, làm móp méo cả form giày, giày thấp 1 phân, mọi người cân nhắc khi mua ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
21,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,*******242Chứng nhận đã mua hàng,5.0,"Chất liệu:  tạm ổn, giá đúng như chất lượng của giày
 Kích cỡ chân (cm):  Vừa chân, lần sau ủng hộ tiếp ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
22,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Một's T.Chứng nhận đã mua hàng,5.0,"Giày đa năng, phù hợp với nhiều dịp khác nhau., Giao hàng nhanh chóng và người bán đáng tin cậy., Giá trị tuyệt vời cho sản phẩm.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
23,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Diễm N.Chứng nhận đã mua hàng,5.0,"Giá trị tuyệt vời cho sản phẩm., Đầu giày hình tròn mang lại sự thoải mái tối đa., Giày đa năng, phù hợp với nhiều dịp khác nhau., Giao hàng nhanh chóng và người bán đáng tin cậy., Đầu giày hình tròn mang lại sự thoải mái tối đa.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
24,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,9***4Chứng nhận đã mua hàng,5.0,"Giày đa năng, phù hợp với nhiều dịp khác nhau., Thiết kế chắc chắn, bền bỉ theo thời gian., Giá trị tuyệt vời cho sản phẩm.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
25,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Đ***.Chứng nhận đã mua hàng,5.0,"Giao hàng nhanh chóng và người bán đáng tin cậy., Thiết kế chắc chắn, bền bỉ theo thời gian., Giao hàng nhanh chóng và người bán đáng tin cậy.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
26,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,0***9Chứng nhận đã mua hàng,5.0,"Giày đa năng, phù hợp với nhiều dịp khác nhau., k nghĩ với giá tiền như vậy mà nhận đc giày đẹp.ảnh chỉ nang tính nhận xu ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
27,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Trà M.Chứng nhận đã mua hàng,5.0,"Màu sắc: tuỵt vời ạ giày xinh lắm lắm lắm luôn 
Nma vẫn trừ 1 điểm vì shop giaoo lâu quaaaa
 Kích cỡ chân (cm): 
Đặt đúng size nhé anh em ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
28,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Huyềnn K.Chứng nhận đã mua hàng,5.0,"hợp với giá tiền .  Nhưng mà kh cho vào hộp ,  chỉ gói lại thô sơ nên giày bị nhăn rất nhiều ,  bị xẹp luôn ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
29,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Ngọc K.Chứng nhận đã mua hàng,5.0,"Chất liệu:đẹp
 Kích cỡ:đúng
 Màu sắc:đẹp
 Kiểu dáng:đẹp
 Sự thoải mái:quá đẹp
uy tín
giao hàng nhanh
 ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
30,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,n***gChứng nhận đã mua hàng,5.0,Haizzz... Shop giao nhầm 2 chiếc cùng bên trái ạ. Thật THẤT VỌNG!! Nhắn tin nhưng chưa thấy phản hồi và hỗ trợ ạ. ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
31,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,GiangvuChứng nhận đã mua hàng,5.0,Giày khá ok so với giá tiền. Mình đi vứa xinh. Mọi ng muốn mua hàng rẻ mà chất lượng thì ghé shop nhea. ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
32,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,D***.Chứng nhận đã mua hàng,5.0,hợp với giá tiền.bdbbsbshshshjdjdjdbdbdbhshshshdhdhdhdbhdhdhdhdhdhhdhđeiueudhdhdhhdhdhdhdhhdhdhdhdhdhdhhdhdhdbdhdh ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
33,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,3***9Chứng nhận đã mua hàng,5.0,"Hàng Đầu giày hình tròn mang lại sự thoải mái tối đa., Giá trị tuyệt vời cho sản phẩm., Giao hàng nhanh chóng và người bán đáng tin cậy., Thiết kế chắc chắn, bền bỉ theo thời gian.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
34,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,N***.Chứng nhận đã mua hàng,5.0,"Chất liệu chất lượng cao đảm bảo độ bền., Giá trị tuyệt vời cho sản phẩm., Đầu giày hình tròn mang lại sự thoải mái tối đa., Thiết kế chắc chắn, bền bỉ theo thời gian.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
35,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Ánh V.Chứng nhận đã mua hàng,5.0,"Giao hàng nhanh chóng và người bán đáng tin cậy., Giá trị tuyệt vời cho sản phẩm., Thiết kế chắc chắn, bền bỉ theo thời gian., Giày đa năng, phù hợp với nhiều dịp khác nhau.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
36,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Toan N.Chứng nhận đã mua hàng,5.0,"Chất liệu:xịn đúng trên hình đẹp
 Kích cỡ:vừa phải 
 Màu sắc:đẹp
 Kiểu dáng:sang sịn mịn
 Sự thoải mái:tốt. ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
37,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,****4Chứng nhận đã mua hàng,5.0,đi size 37 mà đã cố tình đặt size 38 rùi. thế mà vẫn chật. Hàng vừa mới bóc ra đã thấy bong cả 2 chân luôn. chật thì ko nói nhưng bong thì ko thể chấp nhận được. shop nên đóng cửa ko bán hàng nữa. ng mua nên cẩn thận ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
38,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,9***1Chứng nhận đã mua hàng,5.0,"Hàng giao đúng mẫu, đẹp, êm chân m. Nhưng sz to hơn bình thường sz 36 mà 37 đi vừa nên mình ko đi được. Phải tặng nên mọi ng cân nhắc chọn sz lùi lại nhé. Đôi này ko có bóng lót trong nên hơi móp đầu 1 chút.  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
39,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Lê T.Chứng nhận đã mua hàng,5.0,"Kích cỡ chân (cm): 
Giao đúng hàng, đúng mô tả, giá cả phù hợp chất liệu nhìn bên ngoài, mua về cho khách chụp hình là chính 😂 ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
40,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Nguyễn T.Chứng nhận đã mua hàng,5.0,"Chất liệu:ok
 Kích cỡ:ok
 Màu sắc:ok
 Kiểu dáng:ok
 Sự thoải mái:ok
Kích cỡ chân (cm)：vừa ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
41,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,0***9Chứng nhận đã mua hàng,5.0,"Giày đa năng, phù hợp với nhiều dịp khác nhau., Thiết kế chắc chắn, bền bỉ theo thời gian.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
42,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,nghĩa N.Chứng nhận đã mua hàng,5.0,"Giày đa năng, phù hợp với nhiều dịp khác nhau., Giao hàng nhanh chóng và người bán đáng tin cậy.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
43,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Đ***.Chứng nhận đã mua hàng,5.0,"Giao hàng nhanh chóng và người bán đáng tin cậy., Chất liệu chất lượng cao đảm bảo độ bền.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
44,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Hoàng K.Chứng nhận đã mua hàng,5.0,"Sự thoải mái:
Kích cỡ chân (cm)：
giày đẹp như hình giá rẻ thanks shop nhé cho shop 5 sao nhé  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
45,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,8***8Chứng nhận đã mua hàng,5.0,"Giày đa năng, phù hợp với nhiều dịp khác nhau. Giao hàng nhanh chóng và người bán đáng tin cậy. ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
46,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Thuy V.Chứng nhận đã mua hàng,5.0,"mang hơi rộng ai mua lên lùi 1 size nha. Đầu giày hình tròn mang lại sự thoải mái tối đa.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
47,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Que C.Chứng nhận đã mua hàng,5.0,"Sản phẩm được đóng gói cẩn thận,mua được giá tốt rất thích lại mang rất vừa vặn  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
48,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,N***.Chứng nhận đã mua hàng,5.0,"đoang gói kĩ,hàng như hình mẫu,mang vào k bị đau gót chân hay cứng,nên ủng hộ shop ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
49,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,N***.Chứng nhận đã mua hàng,5.0,"Giao hàng nhanh chóng và người bán đáng tin cậy., với giá tiền này thì oke rồi ạ  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
50,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Thành T.Chứng nhận đã mua hàng,5.0,"Thiết kế chắc chắn, bền bỉ theo thời gian., Chất liệu chất lượng cao đảm bảo độ bền.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
51,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Nguyễn N.Chứng nhận đã mua hàng,5.0,"Kích cỡ:đi phải nói là vừa chân
 Màu sắc:đúng mô tả
 Kiểu dáng:đúng
 Chất liệu:mềm ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
52,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Lại T.Chứng nhận đã mua hàng,5.0,"Thiết kế chắc chắn, bền bỉ theo thời gian., Chất liệu chất lượng cao đảm bảo độ bền.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
53,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,kimtienChứng nhận đã mua hàng,5.0,"đã nhân được giày ,nhìn thì thây ok nhưng ko biêt đi có đau chan ko thì chua biêt ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
54,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,La T.Chứng nhận đã mua hàng,5.0,"Đẹp như mong đợi
Ok ok ok ok ok ok ok ok ok
Hình ảnh chỉ mang tính chất minh hoạ ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
55,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Nguyễn T.Chứng nhận đã mua hàng,5.0,Đôi này size đi vừa chân nhưng hơi bong tý tẹo. Nhưng không sao . Hàng đẹp ok giá cả ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
56,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Loan N.Chứng nhận đã mua hàng,5.0,dép mua về thấy cũng ổn.nhưng hơi rộng chưa dùng đc.lên k biết đi lên chân ntn ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
57,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,tra M.Chứng nhận đã mua hàng,5.0,"Chất liệu chất lượng cao đảm bảo độ bền., Giá trị tuyệt vời cho sản phẩm.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
58,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Ánh P.Chứng nhận đã mua hàng,5.0,"Shop cần gói cẩn thận hơn, gói chỉ 1 bao ni lông nên giqyf bị mất form ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
59,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Phạm T.Chứng nhận đã mua hàng,5.0,"Giầy đẹp, shop đóng gói cẩn thận để không bị móp giầy thì xuất sắc luôn. ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
60,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Đ***.Chứng nhận đã mua hàng,5.0,"Chất liệu chất lượng cao đảm bảo độ bền., Giá trị tuyệt vời cho sản phẩm.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
61,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,X***.Chứng nhận đã mua hàng,5.0,"Chất liệu:mềm
 Kích cỡ:giao đúng size mình yêu cầu 
 Màu sắc:đúng yêu cầu  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
62,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,L***.Chứng nhận đã mua hàng,5.0,giao hàng nhanh giá thành rẻ shipper thân thiện nói chung là đáng mua ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
63,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,M***.Chứng nhận đã mua hàng,5.0,"Kích cỡ chân (cm)：mình đặt 39 nma nó hơi kích chân xíu
Sự thoải mái：da cứng ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
64,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,*******545Chứng nhận đã mua hàng,5.0,"rất hài lòng rất đẹp shop uy tín , ship nhiệt tình thân thiện, tặng shop 5 sao.",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
65,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Kim A.Chứng nhận đã mua hàng,5.0,giấy đẹp dê thương giá chát lương di đôi  với giá thành nha mọi  người  ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
